file,variant,orig_bytes,out_bytes,orig_curve_cmds,out_curve_cmds
beliefs/首.svg,oracle,8401,691,19,20
beliefs/狩.svg,oracle,4339,518,19,20
beliefs/水.svg,oracle,3839,504,24,32
beliefs/税.svg,seal,4840,797,22,31
beliefs/斯.svg,bronze,4725,1033,64,73
beliefs/寺.svg,bronze,2615,433,15,17
beliefs/稣.svg,bronze,6368,852,25,32
beliefs/俗.svg,bronze,3457,668,28,43
beliefs/所.svg,bronze,3725,974,60,69
beliefs/琐.svg,seal,4077,763,25,31
beliefs/塔.svg,seal,4938,807,25,33
beliefs/太.svg,seal,2222,484,15,18
beliefs/堂.svg,bronze,4490,1054,64,75
beliefs/体.svg,bronze,6148,944,36,45
beliefs/天.svg,oracle,3424,674,29,37
beliefs/统.svg,seal,5023,706,18,20
beliefs/头.svg,bronze,3505,667,27,39
beliefs/图.svg,bronze,7351,1086,48,59
beliefs/徒.svg,oracle,3956,711,29,41
beliefs/团.svg,bronze,7231,1060,48,58
beliefs/万.svg,oracle,2364,298,12,12
beliefs/苇.svg,seal,5031,706,18,15
beliefs/卫.svg,oracle,4334,865,42,58
beliefs/位.svg,bronze,2250,368,13,14
beliefs/文.svg,oracle,3399,456,16,19
beliefs/乌.svg,bronze,3528,494,14,15
beliefs/武.svg,oracle,2522,390,16,18
beliefs/舞.svg,oracle,4257,491,12,12
beliefs/物.svg,oracle,3159,791,40,54
beliefs/西.svg,oracle,6407,689,26,36
beliefs/希.svg,seal,3931,715,22,27
beliefs/锡.svg,oracle,2531,487,22,32
beliefs/习.svg,oracle,5132,561,17,19
beliefs/想.svg,bronze,10991,1209,70,77
beliefs/像.svg,seal,4549,716,17,20
beliefs/新.svg,oracle,5411,606,20,21
beliefs/信.svg,bronze,13189,1529,83,88
beliefs/修.svg,seal,4147,814,27,41
beliefs/巡.svg,bronze,10823,1249,74,87
beliefs/亚.svg,oracle,3450,467,15,15
beliefs/仰.svg,seal,3174,661,19,27
beliefs/养.svg,oracle,3358,501,18,22
beliefs/要.svg,seal,4627,689,19,22
beliefs/耶.svg,bronze,14677,1270,75,81
beliefs/业.svg,bronze,9009,1291,56,70
beliefs/谒.svg,seal,6024,921,24,29
beliefs/一.svg,oracle,1941,564,28,36
beliefs/伊.svg,oracle,3068,499,16,22
beliefs/仪.svg,bronze,5040,663,17,20
beliefs/义.svg,oracle,5199,572,14,14
beliefs/议.svg,bronze,12818,1376,85,89
